DBN,School_Name,Neighborhood,MeanScore,Leadership_Count,Teacher_Count,Other_Staff_Count,Total_Staff,Male_Teacher_Percentage,Female_Teacher_Percentage,Student_Teacher_Ratio,Leadership_Teacher_Ratio,Support_Staff_Ratio,Avg_Years_Title,Avg_Years_School,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,Performance
73K586,LYONS COMMUNITY SCHOOL,Williamsburg - Bushwick,57.7825,2.0,45.0,7.0,54.0,42.22222222,57.77777778,1.4388888888888889,0.0444444444444444,0.1296296296296296,9.07111111106,6.0666666666,0.0,19.86375,80.13625,0.0,Low
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,Washington Heights - Inwood,69.20033333333333,4.0,50.0,10.0,64.0,32.0,68.0,2.21875,0.08,0.15625,10.52,8.224,0.0,7.0175,92.9825,0.0,High
72X329,DREAMYARD PREPARATORY SCHOOL,Crotona - Tremont,61.28300000000001,2.0,26.0,8.0,36.0,26.92307692,73.07692308,3.94343891402715,0.0769230769230769,0.2222222222222222,6.665384615319999,4.34230769228,0.0,17.382941176470588,82.61705882352942,0.0,Low
72X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,Crotona - Tremont,59.44,3.0,41.0,11.0,55.0,34.14634146,65.85365854,3.028455284552846,0.073170731707317,0.2,9.9,6.414634146279999,1.01,22.995,75.995,0.0,Low
71M544,INDEPENDENCE HIGH SCHOOL,Chelsea - Clinton,57.24677777777779,2.0,23.0,4.0,29.0,52.17391304,47.82608696,2.347826086956522,0.0869565217391304,0.1379310344827586,11.37826086944,6.26956521736,0.0,25.01625,72.89375,2.0912500000000005,Low
71M393,BUSINESS OF SPORTS SCHOOL,Chelsea - Clinton,63.39722222222222,3.0,37.0,6.0,46.0,43.24324324,56.75675676,3.379968203497615,0.081081081081081,0.1304347826086956,10.29459459464,5.31351351352,0.1429411764705882,33.21941176470588,66.31176470588235,0.3258823529411764,Medium
77Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,Rockaway,69.0613492063492,4.0,97.0,25.0,126.0,29.89690722,70.10309278,1.7551546391752575,0.0412371134020618,0.1984126984126984,9.38865979386,6.56907216498,2.87,46.139,38.826,12.167,High
77Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,Long Island City - Astoria,78.94795238095237,8.0,129.0,25.0,162.0,54.26356589,45.73643411,2.465977605512489,0.0620155038759689,0.1543209876543209,13.97984496123,12.94806201547,31.681666666666665,3.592777777777778,55.78,8.946111111111112,High
71M475,STUYVESANT HIGH SCHOOL,Lower Manhattan,92.898,11.0,154.0,32.0,197.0,49.35064935,50.64935065,2.3368983957219247,0.0714285714285714,0.1624365482233502,15.84545454545,11.3987012987,74.64470588235294,1.3541176470588234,1.6929411764705884,22.30764705882353,High
71M519,TALENT UNLIMITED HIGH SCHOOL,Upper East Side,74.21246031746031,3.0,34.0,10.0,47.0,38.23529412,61.76470588,2.6308823529411764,0.088235294117647,0.2127659574468085,9.89411764712,6.16176470596,1.077,31.1905,54.3275,13.404,High
71M414,N.Y.C. MUSEUM SCHOOL,Chelsea - Clinton,80.57566666666666,3.0,32.0,8.0,43.0,34.375,65.625,2.44140625,0.09375,0.1860465116279069,13.434375,5.403125,27.10625,5.8275,35.26625,31.800625,High
77Q485,GROVER CLEVELAND HIGH SCHOOL,Ridgewood - Forest Hills,64.09611111111111,9.0,101.0,33.0,143.0,42.57425743,57.42574257,3.903740374037404,0.0891089108910891,0.2307692307692307,13.99207920804,12.56237623776,9.090555555555556,3.9505555555555554,70.44777777777777,16.510555555555555,Medium
73K764,THE URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTH,East New York,65.22531746031747,2.0,26.0,5.0,33.0,30.76923077,69.23076923,3.661538461538462,0.0769230769230769,0.1515151515151515,6.43076923081,3.98461538463,10.0645,30.618,59.0225,0.294,Medium
76R470,CONCORD HIGH SCHOOL,Stapleton - St. George,64.35466666666666,2.0,17.0,6.0,25.0,35.29411765,64.70588235,1.7426470588235294,0.1176470588235294,0.24,19.4705882354,7.588235294149999,0.0,27.7725,65.98375,6.24375,Medium
73K555,BROOKLYN COLLEGE ACADEMY,Crotona - Tremont,62.17,4.0,34.0,7.0,45.0,44.11764706,55.88235294,4.388235294117647,0.1176470588235294,0.1555555555555555,11.1588235294,8.27352941174,0.5015000000000001,23.0745,76.4235,0.0,Medium
