DBN,School_Name,Subject,MeanScore,Leadership_Count,Teacher_Count,Other_Staff_Count,Total_Staff,Male_Teachers,Male_Avg_Years_Title,Male_Avg_Years_School,Male_Teacher_Percentage,Female_Teachers,Female_Avg_Years_Title,Female_Avg_Years_School,Female_Teacher_Percentage,Asian,Asian_Percentage,Black_African_American,Black_African_American_Percentage,Hispanic,Hispanic_Percentage,White,White_Percentage,Year,Total Tested,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,latitude,longitude,ZIP Code_x,School Type,School Level,Neighborhood,ZIP Code_y
73K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,common_core_english,65.178,3.0,22.0,8.0,33.0,8.0,17.3,6.8,36.36363636,14.0,8.0,3.1,63.63636363999999,,,10.0,45.45454545,,,8.0,36.36363636,2019.7058823529412,94.94117647058823,52.24941176470588,47.75058823529412,10.493529411764705,0.0,93.60941176470588,6.125294117647059,0.2652941176470588,40.647728,-73.922212,11203.0,General Academic,High school,East Flatbush - Flatbush,11203
73K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,living_environment,60.36333333333334,3.0,22.0,8.0,33.0,8.0,17.3,6.8,36.36363636,14.0,8.0,3.1,63.63636363999999,,,10.0,45.45454545,,,8.0,36.36363636,2019.7058823529412,94.94117647058823,52.24941176470588,47.75058823529412,10.493529411764705,0.0,93.60941176470588,6.125294117647059,0.2652941176470588,40.647728,-73.922212,11203.0,General Academic,High school,East Flatbush - Flatbush,11203
73K630,PROFESSIONAL PATHWAYS HIGH SCHOOL,common_core_algebra,60.14166666666667,3.0,17.0,4.0,24.0,10.0,11.1,6.3,58.823529410000006,7.0,12.8,6.7,41.17647059,,,,,,,13.0,76.47058824,2019.8333333333333,46.388888888888886,50.27777777777778,49.72222222222222,9.844444444444443,0.3877777777777778,33.007222222222225,47.01166666666667,19.593888888888888,40.593157,-73.936635,11235.0,Transfer School,High school,Coney Island - Sheepshead Bay ,11235
73K630,PROFESSIONAL PATHWAYS HIGH SCHOOL,common_core_english,66.45166666666667,3.0,17.0,4.0,24.0,10.0,11.1,6.3,58.823529410000006,7.0,12.8,6.7,41.17647059,,,,,,,13.0,76.47058824,2019.8333333333333,46.388888888888886,50.27777777777778,49.72222222222222,9.844444444444443,0.3877777777777778,33.007222222222225,47.01166666666667,19.593888888888888,40.593157,-73.936635,11235.0,Transfer School,High school,Coney Island - Sheepshead Bay ,11235
73K630,PROFESSIONAL PATHWAYS HIGH SCHOOL,living_environment,62.18833333333333,3.0,17.0,4.0,24.0,10.0,11.1,6.3,58.823529410000006,7.0,12.8,6.7,41.17647059,,,,,,,13.0,76.47058824,2019.8333333333333,46.388888888888886,50.27777777777778,49.72222222222222,9.844444444444443,0.3877777777777778,33.007222222222225,47.01166666666667,19.593888888888888,40.593157,-73.936635,11235.0,Transfer School,High school,Coney Island - Sheepshead Bay ,11235
73K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,common_core_algebra,61.6,3.0,30.0,5.0,38.0,11.0,12.2,7.5,36.66666667,19.0,12.8,7.3,63.33333333,,,14.0,46.66666667,,,14.0,46.66666667,2019.8235294117646,108.82352941176471,44.04352941176471,55.95647058823529,15.684117647058823,0.0,85.05,13.717647058823529,1.2329411764705882,40.640543,-73.898601,11236.0,General Academic,High school,Canarsie - Flatlands,11236
73K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,common_core_english,66.21333333333332,3.0,30.0,5.0,38.0,11.0,12.2,7.5,36.66666667,19.0,12.8,7.3,63.33333333,,,14.0,46.66666667,,,14.0,46.66666667,2019.8235294117646,108.82352941176471,44.04352941176471,55.95647058823529,15.684117647058823,0.0,85.05,13.717647058823529,1.2329411764705882,40.640543,-73.898601,11236.0,General Academic,High school,Canarsie - Flatlands,11236
73K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,living_environment,63.598,3.0,30.0,5.0,38.0,11.0,12.2,7.5,36.66666667,19.0,12.8,7.3,63.33333333,,,14.0,46.66666667,,,14.0,46.66666667,2019.8235294117646,108.82352941176471,44.04352941176471,55.95647058823529,15.684117647058823,0.0,85.05,13.717647058823529,1.2329411764705882,40.640543,-73.898601,11236.0,General Academic,High school,Canarsie - Flatlands,11236
73K635,OLYMPUS ACADEMY,common_core_algebra,63.1,2.0,16.0,5.0,23.0,,,,,,,,,,,6.0,37.5,,,7.0,43.75,2019.5625,43.9375,48.825,51.175,12.14375,0.0,98.828125,1.171875,0.0,40.645965,-73.898607,11236.0,Transfer School,High school,Canarsie - Flatlands,11236
73K635,OLYMPUS ACADEMY,common_core_english,64.06666666666666,2.0,16.0,5.0,23.0,,,,,,,,,,,6.0,37.5,,,7.0,43.75,2019.5625,43.9375,48.825,51.175,12.14375,0.0,98.828125,1.171875,0.0,40.645965,-73.898607,11236.0,Transfer School,High school,Canarsie - Flatlands,11236
